id_fonte_observacao,id_usina,data_hora_observacao,valor,status
PI,BAUFI1,2025-06-06T17:00:00Z,0.963,
PI,BAUFI1,2025-06-06T17:30:00Z,999,
PI,BAUFI1,2025-06-06T18:00:00Z,0,
PI,BAUFI1,2025-06-06T18:30:00Z,0,
PI,BAUFI1,2025-06-06T19:00:00Z,0,
PI,BAUFI1,2025-06-06T19:30:00Z,0,
PI,BAUFI1,2025-06-06T20:00:00Z,0,
PI,BAUFI1,2025-06-06T20:30:00Z,0,
PI,BAUFI1,2025-06-06T21:00:00Z,0,
PI,BAUFI1,2025-06-06T21:30:00Z,0,
PI,BAUFI1,2025-06-06T22:00:00Z,0,
PI,BAUFI1,2025-06-06T22:30:00Z,0,
PI,BAUFI1,2025-06-06T23:00:00Z,0,
PI,BAUFI1,2025-06-06T23:30:00Z,0,
PI,BAUFI1,2025-06-07T00:00:00Z,0,
PI,BAUFI1,2025-06-07T00:30:00Z,0,
PI,BAUFI1,2025-06-07T01:00:00Z,0,
PI,BAUFI1,2025-06-07T01:30:00Z,0,
PI,BAUFI1,2025-06-07T02:00:00Z,0,
PI,BAUFI1,2025-06-07T02:30:00Z,0,
PI,BAUFI1,2025-06-07T03:00:00Z,0,
PI,BAUFI1,2025-06-07T03:30:00Z,0,
PI,BAUFI1,2025-06-07T04:00:00Z,0,
PI,BAUFI1,2025-06-07T04:30:00Z,0,
PI,BAUFI1,2025-06-07T05:00:00Z,0,
PI,BAUFI1,2025-06-07T05:30:00Z,0,
PI,BAUFI1,2025-06-07T06:00:00Z,0.054,
PI,BAUFI1,2025-06-07T06:30:00Z,2.831,
PI,BAUFI1,2025-06-07T07:00:00Z,11.287,
PI,BAUFI1,2025-06-07T07:30:00Z,4.502,
PI,BAUFI1,2025-06-07T08:00:00Z,0,
PI,BAUFI1,2025-06-07T08:30:00Z,0,
PI,BAUFI1,2025-06-07T09:00:00Z,0,
PI,BAUFI1,2025-06-07T09:30:00Z,0,
PI,BAUFI1,2025-06-07T10:00:00Z,0,
PI,BAUFI1,2025-06-07T10:30:00Z,0,
PI,BAUFI1,2025-06-07T11:00:00Z,0,
PI,BAUFI1,2025-06-07T11:30:00Z,0,
PI,BAUFI1,2025-06-07T12:00:00Z,0,
PI,BAUFI1,2025-06-07T12:30:00Z,6.703,
PI,BAUFI1,2025-06-07T13:00:00Z,24.1,
PI,BAUFI1,2025-06-07T13:30:00Z,24.15,
PI,BAUFI1,2025-06-07T14:00:00Z,24.038,
PI,BAUFI1,2025-06-07T14:30:00Z,23.791,
PI,BAUFI1,2025-06-07T15:00:00Z,22.986,
PI,BAUFI1,2025-06-07T15:30:00Z,21.604,
PI,BAUFI1,2025-06-07T16:00:00Z,16.585,
PI,BAUFI1,2025-06-07T16:30:00Z,8.784,
PI,BAUFI1,2025-06-07T17:00:00Z,1.909,
PI,BAUFI1,2025-06-07T17:30:00Z,0.165,
PI,BAUFI1,2025-06-07T18:00:00Z,0,
PI,BAUFI1,2025-06-07T18:30:00Z,0,
PI,BAUFI1,2025-06-07T19:00:00Z,0,
PI,BAUFI1,2025-06-07T19:30:00Z,0,
PI,BAUFI1,2025-06-07T20:00:00Z,0,
PI,BAUFI1,2025-06-07T20:30:00Z,0,
PI,BAUFI1,2025-06-07T21:00:00Z,0,
PI,BAUFI1,2025-06-07T21:30:00Z,0,
PI,BAUFI1,2025-06-07T22:00:00Z,0,
PI,BAUFI1,2025-06-07T22:30:00Z,0,
PI,BAUFI1,2025-06-07T23:00:00Z,0,
PI,BAUFI1,2025-06-07T23:30:00Z,0,
PI,BAUFI1,2025-06-08T00:00:00Z,0,
PI,BAUFI1,2025-06-08T00:30:00Z,0,
PI,BAUFI1,2025-06-08T01:00:00Z,0,
PI,BAUFI1,2025-06-08T01:30:00Z,0,
PI,BAUFI1,2025-06-08T02:00:00Z,0,
PI,BAUFI1,2025-06-08T02:30:00Z,0,
PI,BAUFI1,2025-06-08T03:00:00Z,0,
PI,BAUFI1,2025-06-08T03:30:00Z,0,
PI,BAUFI1,2025-06-08T04:00:00Z,0,
PI,BAUFI1,2025-06-08T04:30:00Z,0,
PI,BAUFI1,2025-06-08T05:00:00Z,0,
PI,BAUFI1,2025-06-08T05:30:00Z,0,
PI,BAUFI1,2025-06-08T06:00:00Z,0.068,
PI,BAUFI1,2025-06-08T06:30:00Z,0.221,
PI,BAUFI1,2025-06-08T07:00:00Z,0,
PI,BAUFI1,2025-06-08T07:30:00Z,0,
PI,BAUFI1,2025-06-08T08:00:00Z,0,
PI,BAUFI1,2025-06-08T08:30:00Z,0,
PI,BAUFI1,2025-06-08T09:00:00Z,0,
PI,BAUFI1,2025-06-08T09:30:00Z,0.003,
PI,BAUFI1,2025-06-08T10:00:00Z,4.7,
PI,BAUFI1,2025-06-08T10:30:00Z,7.611,
PI,BAUFI1,2025-06-08T11:00:00Z,11.06,
PI,BAUFI1,2025-06-08T11:30:00Z,12.673,
PI,BAUFI1,2025-06-08T12:00:00Z,13.063,
PI,BAUFI1,2025-06-08T12:30:00Z,13.203,
PI,BAUFI1,2025-06-08T13:00:00Z,13.251,
PI,BAUFI1,2025-06-08T13:30:00Z,13.246,
PI,BAUFI1,2025-06-08T14:00:00Z,13.256,
PI,BAUFI1,2025-06-08T14:30:00Z,15.85,
PI,BAUFI1,2025-06-08T15:00:00Z,21.319,
PI,BAUFI1,2025-06-08T15:30:00Z,21.201,
PI,BAUFI1,2025-06-08T16:00:00Z,16.454,
PI,BAUFI1,2025-06-08T16:30:00Z,8.628,
PI,BAUFI1,2025-06-08T17:00:00Z,1.856,
PI,BAUFI1,2025-06-08T17:30:00Z,0,
PI,BAUFI1,2025-06-08T18:00:00Z,0,
PI,BAUFI1,2025-06-08T18:30:00Z,0,
PI,BAUFI1,2025-06-08T19:00:00Z,0,
PI,BAUFI1,2025-06-08T19:30:00Z,0,
PI,BAUFI1,2025-06-08T20:00:00Z,0,
PI,BAUFI1,2025-06-08T20:30:00Z,0,
PI,BAUFI1,2025-06-08T21:00:00Z,0,
PI,BAUFI1,2025-06-08T21:30:00Z,0,
PI,BAUFI1,2025-06-08T22:00:00Z,0,
PI,BAUFI1,2025-06-08T22:30:00Z,0,
PI,BAUFI1,2025-06-08T23:00:00Z,0,
PI,BAUFI1,2025-06-08T23:30:00Z,0,
PI,BAUFI1,2025-06-09T00:00:00Z,0,
PI,BAUFI1,2025-06-09T00:30:00Z,0,
PI,BAUFI1,2025-06-09T01:00:00Z,0,
PI,BAUFI1,2025-06-09T01:30:00Z,0,
PI,BAUFI1,2025-06-09T02:00:00Z,0,
PI,BAUFI1,2025-06-09T02:30:00Z,0,
PI,BAUFI1,2025-06-09T03:00:00Z,0,
PI,BAUFI1,2025-06-09T03:30:00Z,0,
PI,BAUFI1,2025-06-09T04:00:00Z,0,
PI,BAUFI1,2025-06-09T04:30:00Z,0,
PI,BAUFI1,2025-06-09T05:00:00Z,0,
PI,BAUFI1,2025-06-09T05:30:00Z,0,
PI,BAUFI1,2025-06-09T06:00:00Z,0.124,
PI,BAUFI1,2025-06-09T06:30:00Z,3.478,
PI,BAUFI1,2025-06-09T07:00:00Z,11.757,
PI,BAUFI1,2025-06-09T07:30:00Z,19.44,
PI,BAUFI1,2025-06-09T08:00:00Z,18.873,
PI,BAUFI1,2025-06-09T08:30:00Z,22.114,
PI,BAUFI1,2025-06-09T09:00:00Z,23.72,
PI,BAUFI1,2025-06-09T09:30:00Z,23.502,
PI,BAUFI1,2025-06-09T10:00:00Z,23.238,
PI,BAUFI1,2025-06-09T10:30:00Z,23.297,
PI,BAUFI1,2025-06-09T11:00:00Z,23.618,
PI,BAUFI1,2025-06-09T11:30:00Z,22.421,
PI,BAUFI1,2025-06-09T12:00:00Z,24.04,
PI,BAUFI1,2025-06-09T12:30:00Z,22.279,
PI,BAUFI1,2025-06-09T13:00:00Z,19.774,
PI,BAUFI1,2025-06-09T13:30:00Z,17.661,
PI,BAUFI1,2025-06-09T14:00:00Z,15.182,
PI,BAUFI1,2025-06-09T14:30:00Z,20.689,
PI,BAUFI1,2025-06-09T15:00:00Z,22.412,
PI,BAUFI1,2025-06-09T15:30:00Z,20.915,
PI,BAUFI1,2025-06-09T16:00:00Z,16.005,
PI,BAUFI1,2025-06-09T16:30:00Z,8.334,
PI,BAUFI1,2025-06-09T17:00:00Z,1.774,
PI,BAUFI1,2025-06-09T17:30:00Z,0.152,
PI,BAUFI1,2025-06-09T18:00:00Z,0,
PI,BAUFI1,2025-06-09T18:30:00Z,0,
PI,BAUFI1,2025-06-09T19:00:00Z,0,
PI,BAUFI1,2025-06-09T19:30:00Z,0,
PI,BAUFI1,2025-06-09T20:00:00Z,0,
PI,BAUFI1,2025-06-09T20:30:00Z,0,
PI,BAUFI1,2025-06-09T21:00:00Z,0,
PI,BAUFI1,2025-06-09T21:30:00Z,0,
PI,BAUFI1,2025-06-09T22:00:00Z,0,
PI,BAUFI1,2025-06-09T22:30:00Z,0,
PI,BAUFI1,2025-06-09T23:00:00Z,0,
PI,BAUFI1,2025-06-09T23:30:00Z,0,
PI,BAUFI1,2025-06-10T00:00:00Z,0,
PI,BAUFI1,2025-06-10T00:30:00Z,0,
PI,BAUFI1,2025-06-10T01:00:00Z,0,
PI,BAUFI1,2025-06-10T01:30:00Z,0,
PI,BAUFI1,2025-06-10T02:00:00Z,0,
PI,BAUFI1,2025-06-10T02:30:00Z,0,
PI,BAUFI1,2025-06-10T03:00:00Z,0,
PI,BAUFI1,2025-06-10T03:30:00Z,0,
PI,BAUFI1,2025-06-10T04:00:00Z,0,
PI,BAUFI1,2025-06-10T04:30:00Z,0,
PI,BAUFI1,2025-06-10T05:00:00Z,0,
PI,BAUFI1,2025-06-10T05:30:00Z,0,
PI,BAUFI1,2025-06-10T06:00:00Z,0.053,
PI,BAUFI1,2025-06-10T06:30:00Z,2.811,
PI,BAUFI1,2025-06-10T07:00:00Z,10.652,
PI,BAUFI1,2025-06-10T07:30:00Z,18.172,
PI,BAUFI1,2025-06-10T08:00:00Z,21.683,
PI,BAUFI1,2025-06-10T08:30:00Z,22.516,
PI,BAUFI1,2025-06-10T09:00:00Z,23.094,
PI,BAUFI1,2025-06-10T09:30:00Z,23.284,
PI,BAUFI1,2025-06-10T10:00:00Z,22.777,
PI,BAUFI1,2025-06-10T10:30:00Z,21.832,
PI,BAUFI1,2025-06-10T11:00:00Z,21.599,
PI,BAUFI1,2025-06-10T11:30:00Z,21.71,
PI,BAUFI1,2025-06-10T12:00:00Z,22.866,
PI,BAUFI1,2025-06-10T12:30:00Z,23.58,
PI,BAUFI1,2025-06-10T13:00:00Z,23.491,
PI,BAUFI1,2025-06-10T13:30:00Z,23.355,
PI,BAUFI1,2025-06-10T14:00:00Z,23.268,
PI,BAUFI1,2025-06-10T14:30:00Z,22.985,
PI,BAUFI1,2025-06-10T15:00:00Z,22.111,
PI,BAUFI1,2025-06-10T15:30:00Z,20.309,
PI,BAUFI1,2025-06-10T16:00:00Z,14.846,
PI,BAUFI1,2025-06-10T16:30:00Z,5.313,
PI,BAUFI1,2025-06-10T17:00:00Z,1.781,
PI,BAUFI1,2025-06-10T17:30:00Z,0,
PI,BAUFI1,2025-06-10T18:00:00Z,0,
PI,BAUFI1,2025-06-10T18:30:00Z,0,
PI,BAUFI1,2025-06-10T19:00:00Z,0,
PI,BAUFI1,2025-06-10T19:30:00Z,0,
PI,BAUFI1,2025-06-10T20:00:00Z,0,
PI,BAUFI1,2025-06-10T20:30:00Z,0,
PI,BAUFI1,2025-06-10T21:00:00Z,999,
PI,BAUFI1,2025-06-10T21:30:00Z,999,
PI,BAUFI1,2025-06-10T22:00:00Z,999,
PI,BAUFI1,2025-06-10T22:30:00Z,999,
PI,BAUFI1,2025-06-10T23:00:00Z,0,
PI,BAUFI1,2025-06-10T23:30:00Z,0,
PI,BAUFI1,2025-06-11T00:00:00Z,0,
PI,BAUFI1,2025-06-11T00:30:00Z,0,
PI,BAUFI1,2025-06-11T01:00:00Z,0,
PI,BAUFI1,2025-06-11T01:30:00Z,0,
PI,BAUFI1,2025-06-11T02:00:00Z,0,
PI,BAUFI1,2025-06-11T02:30:00Z,0,
PI,BAUFI1,2025-06-11T03:00:00Z,0,
PI,BAUFI1,2025-06-11T03:30:00Z,0,
PI,BAUFI1,2025-06-11T04:00:00Z,0,
PI,BAUFI1,2025-06-11T04:30:00Z,0,
PI,BAUFI1,2025-06-11T05:00:00Z,0,
PI,BAUFI1,2025-06-11T05:30:00Z,0,
PI,BAUFI1,2025-06-11T06:00:00Z,0.133,
PI,BAUFI1,2025-06-11T06:30:00Z,3.018,
PI,BAUFI1,2025-06-11T07:00:00Z,8.928,
PI,BAUFI1,2025-06-11T07:30:00Z,14.985,
PI,BAUFI1,2025-06-11T08:00:00Z,19.89,
PI,BAUFI1,2025-06-11T08:30:00Z,21.616,
PI,BAUFI1,2025-06-11T09:00:00Z,21.732,
PI,BAUFI1,2025-06-11T09:30:00Z,22.145,
PI,BAUFI1,2025-06-11T10:00:00Z,22.862,
PI,BAUFI1,2025-06-11T10:30:00Z,21.867,
PI,BAUFI1,2025-06-11T11:00:00Z,20.618,
PI,BAUFI1,2025-06-11T11:30:00Z,22.091,
PI,BAUFI1,2025-06-11T12:00:00Z,21.387,
PI,BAUFI1,2025-06-11T12:30:00Z,23.287,
PI,BAUFI1,2025-06-11T13:00:00Z,23.032,
PI,BAUFI1,2025-06-11T13:30:00Z,21.695,
PI,BAUFI1,2025-06-11T14:00:00Z,16.934,
PI,BAUFI1,2025-06-11T14:30:00Z,13.979,
PI,BAUFI1,2025-06-11T15:00:00Z,12.342,
PI,BAUFI1,2025-06-11T15:30:00Z,2.841,
PI,BAUFI1,2025-06-11T16:00:00Z,2.834,
PI,BAUFI1,2025-06-11T16:30:00Z,2.578,
PI,BAUFI1,2025-06-11T17:00:00Z,1.604,
PI,BAUFI1,2025-06-11T17:30:00Z,0,
PI,BAUFI1,2025-06-11T18:00:00Z,0,
PI,BAUFI1,2025-06-11T18:30:00Z,0,
PI,BAUFI1,2025-06-11T19:00:00Z,0,
PI,BAUFI1,2025-06-11T19:30:00Z,0,
PI,BAUFI1,2025-06-11T20:00:00Z,0,
PI,BAUFI1,2025-06-11T20:30:00Z,0,
PI,BAUFI1,2025-06-11T21:00:00Z,0,
PI,BAUFI1,2025-06-11T21:30:00Z,0,
PI,BAUFI1,2025-06-11T22:00:00Z,0,
PI,BAUFI1,2025-06-11T22:30:00Z,0,
PI,BAUFI1,2025-06-11T23:00:00Z,0,
PI,BAUFI1,2025-06-11T23:30:00Z,0,
PI,BAUFI1,2025-06-12T00:00:00Z,0,
PI,BAUFI1,2025-06-12T00:30:00Z,0,
PI,BAUFI1,2025-06-12T01:00:00Z,0,
PI,BAUFI1,2025-06-12T01:30:00Z,0,
PI,BAUFI1,2025-06-12T02:00:00Z,0,
PI,BAUFI1,2025-06-12T02:30:00Z,0,
PI,BAUFI1,2025-06-12T03:00:00Z,0,
PI,BAUFI1,2025-06-12T03:30:00Z,0,
PI,BAUFI1,2025-06-12T04:00:00Z,0,
PI,BAUFI1,2025-06-12T04:30:00Z,0,
PI,BAUFI1,2025-06-12T05:00:00Z,0,
PI,BAUFI1,2025-06-12T05:30:00Z,0,
PI,BAUFI1,2025-06-12T06:00:00Z,0.057,
PI,BAUFI1,2025-06-12T06:30:00Z,2.67,
PI,BAUFI1,2025-06-12T07:00:00Z,3.896,
PI,BAUFI1,2025-06-12T07:30:00Z,5.377,
PI,BAUFI1,2025-06-12T08:00:00Z,20.371,
PI,BAUFI1,2025-06-12T08:30:00Z,20.415,
PI,BAUFI1,2025-06-12T09:00:00Z,19.702,
PI,BAUFI1,2025-06-12T09:30:00Z,20.197,
PI,BAUFI1,2025-06-12T10:00:00Z,8.662,
PI,BAUFI1,2025-06-12T10:30:00Z,2.754,
PI,BAUFI1,2025-06-12T11:00:00Z,2.76,
PI,BAUFI1,2025-06-12T11:30:00Z,2.865,
PI,BAUFI1,2025-06-12T12:00:00Z,2.59,
PI,BAUFI1,2025-06-12T12:30:00Z,11.888,
PI,BAUFI1,2025-06-12T13:00:00Z,21.348,
PI,BAUFI1,2025-06-12T13:30:00Z,16.51,
PI,BAUFI1,2025-06-12T14:00:00Z,13.356,
PI,BAUFI1,2025-06-12T14:30:00Z,18.268,
PI,BAUFI1,2025-06-12T15:00:00Z,9.893,
PI,BAUFI1,2025-06-12T15:30:00Z,7.06,
PI,BAUFI1,2025-06-12T16:00:00Z,3.795,
PI,BAUFI1,2025-06-12T16:30:00Z,2.563,
PI,BAUFI1,2025-06-12T17:00:00Z,1.549,
PI,BAUFI1,2025-06-12T17:30:00Z,0.131,
PI,BAUFI1,2025-06-12T18:00:00Z,0,
PI,BAUFI1,2025-06-12T18:30:00Z,0,
PI,BAUFI1,2025-06-12T19:00:00Z,0,
PI,BAUFI1,2025-06-12T19:30:00Z,0,
PI,BAUFI1,2025-06-12T20:00:00Z,0,
PI,BAUFI1,2025-06-12T20:30:00Z,0,
