latitude,longitude,data_hora_rodada,data_hora_previsao,valor,id_modelo_nwp
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T02:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T04:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T05:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T07:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T08:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T10:00:00Z,9.64,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T11:00:00Z,55.24,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T12:00:00Z,122.56,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T13:00:00Z,648.74,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T14:00:00Z,715.5,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T15:00:00Z,759.58,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T16:00:00Z,780.06,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T17:00:00Z,776.54,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T18:00:00Z,741.73,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T19:00:00Z,281.62,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T20:00:00Z,164.48,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T21:00:00Z,112.46,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T22:00:00Z,84.34,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-15T23:00:00Z,67.48,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-16T00:00:00Z,56.22,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-16T03:00:00Z,0,GFS
